SEASON,TEAM,G,WIN,LOSS,WIN%,PTS,OPP PTS,NET PTS,OFF RTG,DEF RTG,NET RTG,PACE
2021-22,Texas A&M,29,14,15,48.30%,69.3,67.4,1.9,95.5,92.7,2.8,71.2
2021-22,UAB,29,14,15,48.30%,66.8,64.4,2.3,96.4,93.4,3,68.6
2021-22,Alabama St.,29,14,15,48.30%,63.2,70,-6.8,84.4,93.3,-8.9,74.6
2021-22,N.C. A&T,29,14,15,48.30%,67.9,66.8,1.2,91.5,89.7,1.8,73.7
2021-22,Northeastern,32,14,18,43.80%,61.9,62.6,-0.7,88.2,89.3,-1,69.9
2021-22,Northern Colo.,30,14,16,46.70%,61.3,61,0.3,91.1,90.8,0.3,66.4
2021-22,Northern Ill.,29,14,15,48.30%,66.7,69.2,-2.6,93.8,97.1,-3.3,70.2
2021-22,Western Mich.,28,14,14,50.00%,62.5,64.5,-1.9,88.1,91.6,-3.5,70.4
2021-22,Wichita St.,30,14,16,46.70%,64.1,62.9,1.1,88.9,87.3,1.7,71.2
2021-22,Wofford,28,14,14,50.00%,63.3,64.5,-1.3,86.9,89.3,-2.4,72.5
2021-22,UC Davis,26,13,13,50.00%,60.8,59.2,1.5,90.6,88.6,2,66.7
2021-22,Marshall,26,13,13,50.00%,61,60.7,0.3,91.2,89.8,1.4,66.6
2021-22,Robert Morris,28,13,15,46.40%,54.3,58.6,-4.3,82.1,89,-6.9,66
2021-22,SIUE,31,13,18,41.90%,69.3,74.6,-5.3,89.3,96.1,-6.7,77.6
2021-22,Sacramento St.,29,13,16,44.80%,64.4,66,-1.6,98.2,100.9,-2.7,65.2
2021-22,Saint Joseph's,30,13,17,43.30%,58.3,60,-1.7,90,93.9,-3.9,64.3
2021-22,Saint Peter's,31,13,18,41.90%,59,60.8,-1.8,82.2,84.9,-2.7,71.4
2021-22,Rice,26,13,13,50.00%,66.2,66.7,-0.5,91.4,92.5,-1.1,70.3
2021-22,Hampton,29,13,16,44.80%,59.4,63.8,-4.4,83.9,90.3,-6.4,70.4
2021-22,Harvard,27,13,14,48.10%,70.9,67.4,3.6,97.8,92.9,4.9,71.8
2021-22,Houston Baptist,24,13,11,54.20%,56.5,57.1,-0.7,82.5,83.6,-1.1,68
2021-22,Idaho,31,13,18,41.90%,67.6,70.9,-3.3,91.1,95.6,-4.6,73.9
2021-22,North Dakota,28,13,15,46.40%,66,69.7,-3.7,91.9,97.4,-5.5,71.4
2021-22,Temple,28,13,15,46.40%,59.7,61.4,-1.7,84.7,87.8,-3.1,69.6
2021-22,Abilene Christian,26,13,13,50.00%,70.9,70,0.9,100.9,99.9,0.9,70.2
2021-22,App State,24,12,12,50.00%,67.9,69.8,-1.9,87.3,89.5,-2.2,76.2
2021-22,Arizona St.,26,12,14,46.20%,63.3,59.9,3.4,93.9,89.5,4.5,66.5
2021-22,Ark.-Pine Bluff,28,12,16,42.90%,67.6,69.3,-1.8,91.2,93.5,-2.2,74.1
2021-22,FIU,28,12,16,42.90%,62.3,62.6,-0.3,88.9,89,-0.1,69.6
2021-22,Western Ill.,27,12,15,44.40%,68.3,73.6,-5.3,90.8,98,-7.2,73.8
2021-22,Tarleton St.,25,12,13,48.00%,56.9,61.5,-4.6,83.5,89.7,-6.2,67.9
2021-22,UC San Diego,26,12,14,46.20%,59.7,61,-1.3,86.1,88.3,-2.2,68.9
2021-22,UC Riverside,23,12,11,52.20%,58.7,59.3,-0.6,84.7,86.3,-1.6,69
2021-22,UT Martin,30,12,18,40.00%,55.6,58.1,-2.4,86.7,90.6,-3.9,64.1
2021-22,Jacksonville,25,12,13,48.00%,56.8,60.2,-3.4,81.7,86.2,-4.5,69.7
2021-22,Lafayette,30,12,18,40.00%,54.5,58.6,-4,83,89,-6,65.5
2021-22,Lamar University,27,12,15,44.40%,61.2,62.9,-1.7,90.7,92.1,-1.4,66.6
2021-22,Sam Houston,28,12,16,42.90%,63.8,69.8,-6,85.6,94,-8.5,74
2021-22,Southern California,28,12,16,42.90%,64.3,64.7,-0.4,91.4,91.8,-0.4,69.8
2021-22,Southern U.,29,12,17,41.40%,59,63.9,-4.9,82.2,89.1,-6.9,70.8
2021-22,St. John's (NY),31,12,19,38.70%,72,73.7,-1.7,97.6,100.9,-3.3,73.1
2021-22,Texas St.,26,12,14,46.20%,65.1,69.1,-4,89.4,95.2,-5.7,71.2
2021-22,George Washington,30,12,18,40.00%,51.2,56,-4.8,79.5,87,-7.5,64.3
2021-22,Coastal Carolina,23,12,11,52.20%,68.4,66.1,2.3,91.8,88,3.9,74.8
2021-22,Cal St. Fullerton,29,11,18,37.90%,60.3,64.7,-4.3,87.6,94.2,-6.6,68.4
2021-22,Cincinnati,28,11,17,39.30%,59.8,66.2,-6.4,83.4,92,-8.6,71.2
2021-22,Rutgers,31,11,20,35.50%,58.4,60,-1.6,86.8,89.5,-2.7,66.9
2021-22,Samford,28,11,17,39.30%,62.3,67.6,-5.3,87.3,95.6,-8.3,70.1
2021-22,Duquesne,29,11,18,37.90%,63.8,64.6,-0.7,92.5,93.5,-1,68.8
2021-22,East Carolina,29,11,18,37.90%,60.2,59.4,0.8,82.6,82.3,0.3,72.2
2021-22,Eastern Ky.,27,11,16,40.70%,64.7,68.2,-3.4,86.9,92.8,-5.9,72.3
2021-22,UIW,28,11,17,39.30%,56.9,60.5,-3.5,82.9,89.1,-6.1,67.3
2021-22,Iona,27,11,16,40.70%,56.3,58.9,-2.5,83.5,86.9,-3.4,67.2
2021-22,Weber St.,31,11,20,35.50%,64,66.9,-2.9,88.8,92.5,-3.7,71.4
2021-22,UMass Lowell,27,11,16,40.70%,55.8,60.9,-5,82.8,90.1,-7.3,67.4
2021-22,Valparaiso,30,11,19,36.70%,60.1,67.2,-7.2,89.1,99.1,-10,67.4
2021-22,St. Bonaventure,27,11,16,40.70%,57.5,62.8,-5.3,84.5,92.5,-8,67.6
2021-22,Syracuse,29,11,18,37.90%,71,74.8,-3.8,93.2,98.2,-5,76.2
2021-22,Tennessee St.,30,11,19,36.70%,63.3,69,-5.7,84.4,92.8,-8.4,73.8
2021-22,Texas Southern,26,11,15,42.30%,68.4,75.5,-7.2,84.9,93.5,-8.7,80.3
2021-22,Texas Tech,30,11,19,36.70%,65.8,68.1,-2.3,94,97.5,-3.5,70
2021-22,Penn St.,29,11,18,37.90%,70.6,74.9,-4.3,94.7,100.6,-5.9,74.5
2021-22,Pittsburgh,30,11,19,36.70%,61.7,65.1,-3.4,84.6,89.4,-4.7,72.1
2021-22,Presbyterian,29,11,18,37.90%,59,63.1,-4.1,85.7,91.8,-6.1,68.5
2021-22,Providence,30,11,19,36.70%,59.9,63.9,-4,83.9,89.8,-5.9,70.1
2021-22,Navy,31,10,21,32.30%,55.1,62.7,-7.6,81.9,93.9,-12,67.1
2021-22,North Florida,27,10,17,37.00%,61.7,64.3,-2.6,86.1,89.2,-3.1,71.2
2021-22,North Ala.,25,10,15,40.00%,66.1,71,-4.9,92.4,97.9,-5.5,70.6
2021-22,LMU (CA),29,10,19,34.50%,59,67.2,-8.2,84.4,96.6,-12.2,69.4
2021-22,McNeese,25,10,15,40.00%,67,74.6,-7.6,88.8,98.3,-9.5,74.9
2021-22,California,23,10,13,43.50%,67.2,67,0.2,94.3,94,0.3,70.4
2021-22,Clemson,31,10,21,32.30%,64.4,70.7,-6.3,89.4,97.9,-8.5,71.6
2021-22,Siena,29,10,19,34.50%,58,60.2,-2.2,82,84.4,-2.3,70.8
2021-22,Indiana St.,30,10,20,33.30%,63.2,66.7,-3.5,91,96.8,-5.7,69.2
2021-22,Auburn,28,10,18,35.70%,63.7,65.9,-2.2,88.4,91.8,-3.4,71.6
2021-22,Penn,24,10,14,41.70%,62.6,61.7,1,89.7,88.1,1.6,69.2
2021-22,Prairie View,27,10,17,37.00%,61.8,72.7,-10.9,79.3,93.7,-14.3,77.8
2021-22,George Mason,29,10,19,34.50%,58.7,65.7,-7,83.3,93.8,-10.5,69.6
2021-22,Utah St.,29,10,19,34.50%,68.1,76.4,-8.3,89.6,101,-11.5,74.8
2021-22,Arkansas St.,25,9,16,36.00%,75.9,75.8,0,99.3,99.9,-0.6,76.2
2021-22,North Dakota St.,27,9,18,33.30%,62.4,67.9,-5.5,92.4,99.8,-7.4,67.8
2021-22,William & Mary,29,9,20,31.00%,56.2,64.9,-8.8,81,93.4,-12.4,68.5
2021-22,Xavier,30,9,21,30.00%,62.3,72.8,-10.5,86.6,100.6,-14,71.8
2021-22,Merrimack,26,9,17,34.60%,64.2,70.6,-6.4,88.7,97.5,-8.7,71.3
2021-22,LIU,27,9,18,33.30%,55.6,62.9,-7.3,80.2,90.9,-10.7,68.6
2021-22,Bryant,31,9,22,29.00%,54.5,64.1,-9.5,79.9,93.1,-13.2,68.5
2021-22,Saint Louis,27,9,18,33.30%,59.8,64.1,-4.3,85.9,92,-6.1,69.4
